ageGyr,logL/Lsun,logR/Rsun,L/Lsun,R/Rsun,logTeff,Teff,logTcore,logrho_core,logPcore,Xcore,Ycore,Zcore
8.80565833E-04,3.89606232E-01,4.15002886E-01,2.45248427825843,2.60017684196053,3.65152743E+00,4482.57360996725,6.47518904E+00,-3.00237013E-01,1.43021170E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
9.26367749E-04,3.71465067E-01,4.06161134E-01,2.3521502877367,2.54777536495276,3.65141301E+00,4481.39277867536,6.48388441E+00,-2.74132734E-01,1.43369326E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
9.74748361E-04,3.53339607E-01,3.97382570E-01,2.25600265803602,2.49679318355363,3.65127093E+00,4479.92692503779,6.49251955E+00,-2.48206723E-01,1.43715082E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.02589980E-03,3.35211885E-01,3.88657673E-01,2.16377393529071,2.44713356009,3.65110145E+00,4478.17900992736,6.50110389E+00,-2.22431664E-01,1.44058815E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.07998230E-03,3.17070068E-01,3.79985095E-01,2.07524830588779,2.39875059241253,3.65090228E+00,4476.12576158505,6.50963862E+00,-1.96804805E-01,1.44400574E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.13711823E-03,2.98929263E-01,3.71370208E-01,1.99034912857536,2.35163658501218,3.65067452E+00,4473.77893203593,6.51811831E+00,-1.71342344E-01,1.44740141E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.19747975E-03,2.80787677E-01,3.62811627E-01,1.908919775222,2.30574686593779,3.65041842E+00,4471.14155789633,6.52654428E+00,-1.46040140E-01,1.45077570E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.26124432E-03,2.62642918E-01,3.54308546E-01,1.830808491215,2.26104156444489,3.65013377E+00,4468.21199396739,6.53491725E+00,-1.20895913E-01,1.45412890E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.32859387E-03,2.44485632E-01,3.45860943E-01,1.75584280373801,2.21748628790732,3.64981825E+00,4464.96696482408,6.54323712E+00,-9.59113754E-02,1.45746098E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.39968616E-03,2.26334283E-01,3.37472458E-01,1.68396973921148,2.17506609174216,3.64947465E+00,4461.43582182629,6.55150011E+00,-7.10973150E-02,1.46077044E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.47474886E-03,2.08176410E-01,3.29139508E-01,1.61501444091716,2.13373021918297,3.64910166E+00,4457.60580179457,6.55970960E+00,-4.64416046E-02,1.46405865E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.55396820E-03,1.90019497E-01,3.20864355E-01,1.54888615227456,2.0934584951391,3.64870001E+00,4453.48516524386,6.56786339E+00,-2.19506719E-02,1.46732473E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.63757979E-03,1.71856849E-01,3.12645043E-01,1.48544593281828,2.0542109646519,3.64826900E+00,4449.06755335585,6.57596341E+00,2.38131764E-03,1.47056944E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.72580460E-03,1.53697426E-01,3.04482206E-01,1.42461471530653,2.01596137060148,3.64781057E+00,4444.37371073291,6.58400913E+00,2.65515609E-02,1.47379255E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
1.81892456E-03,1.35531171E-01,2.96372178E-01,1.36625313345973,1.97866457292979,3.64732402E+00,4439.39736571213,6.59200402E+00,5.05694062E-02,1.47699546E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
