JDTDB,CalendarDate(TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,Note
2332511.500000000,A.D.1674-Feb-0500:00:00.0000,-4.069640339092376E+00,-3.573171072748590E+00,1.056659046756700E-01,4.898800437698786E-03,-5.320890102169093E-03,-8.950166775281635E-05,3.128427701419659E-02,5.416704652102249E+00,-1.723118786637759E-04,
2332521.500000000,A.D.1674-Feb-1500:00:00.0000,-4.020272751116019E+00,-3.626043611807759E+00,1.047611814101234E-01,4.974535182835916E-03,-5.252833650543130E-03,-9.142250123188172E-05,3.127418387681068E-02,5.414957079537036E+00,-1.775751603743383E-04,
2332531.500000000,A.D.1674-Feb-2500:00:00.0000,-3.970160648519387E+00,-3.678239040836623E+00,1.038369539769080E-01,5.048268708647405E-03,-5.186761244776837E-03,-9.343538275916746E-05,3.126385759462424E-02,5.413169139200973E+00,-1.799301083487551E-04,
2332541.500000000,A.D.1674-Mar-0700:00:00.0000,-3.919303880894558E+00,-3.729749384487436E+00,1.028934041914141E-01,5.121828575307328E-03,-5.115434638949066E-03,-9.529229931889578E-05,3.125327193568091E-02,5.411336289171617E+00,-1.856322194488107E-04,
2332551.500000000,A.D.1674-Mar-1700:00:00.0000,-3.867720038084042E+00,-3.780563347261104E+00,1.019306300252449E-01,5.195013822874870E-03,-5.045966223523591E-03,-9.721876520905259E-05,3.124246201946018E-02,5.409464610198337E+00,-1.896996742966600E-04,
2332561.500000000,A.D.1674-Mar-2700:00:00.0000,-3.815413149103587E+00,-3.830670002596999E+00,1.009488485693474E-01,5.266781140326196E-03,-4.975803252512662E-03,-9.914614423057111E-05,3.123140620096970E-02,5.407550354566892E+00,-1.931178405476590E-04,
2332571.500000000,A.D.1674-Apr-0600:00:00.0000,-3.762391334768959E+00,-3.880060786576168E+00,9.994821227231040E-02,5.337175015631952E-03,-4.902055171916542E-03,-1.009819463225334E-04,3.122010906406808E-02,5.405594315947789E+00,-1.980100405651357E-04,
2332581.500000000,A.D.1674-Apr-1600:00:00.0000,-3.708669520089067E+00,-3.928723812134948E+00,9.892885866838959E-02,5.407423112931669E-03,-4.830495409753207E-03,-1.028838890107622E-04,3.120858784184590E-02,5.403599478158172E+00,-2.011328061150980E-04,
2332591.500000000,A.D.1674-Apr-2600:00:00.0000,-3.654248676300624E+00,-3.976651005189850E+00,9.789100291579279E-02,5.476177882227934E-03,-4.755379344136457E-03,-1.047047252268039E-04,3.119681885991712E-02,5.401561742105164E+00,-2.056963211769836E-04,
2332601.500000000,A.D.1674-May-0600:00:00.0000,-3.599145867897535E+00,-4.023831474551309E+00,9.683477911474479E-02,5.543800593236581E-03,-4.679908146853555E-03,-1.065243065279363E-04,3.118482963755396E-02,5.399485872603044E+00,-2.096682133597519E-04,
